org_id,name,org_type,county,city,address,phone,email,website,serves_sf,serves_alameda,target_population,services,priority,verified_as_of,source_id,notes
ORG-DIR,California Division of Apprenticeship Standards,state_registry,Statewide,,not_provided,not_provided,not_provided,https://www.dir.ca.gov/databases/das/aigstart.asp,yes,yes,Apprenticeship applicants and employers,Authoritative registered-apprenticeship program directory,P1,2026-09-12,SRC-DIR-AIG,Registration does not mean applications are currently open.
ORG-SFBUILDTRADES,San Francisco Building & Construction Trades Council,labor_council,San Francisco,San Francisco,not_provided,not_provided,not_provided,https://sfbuildingtrades.org/affiliates,yes,no,Union construction workers and affiliates,Directory of 24 affiliated trade unions and local contacts,P2,2026-09-12,SRC-SF-BUILDTRADES,"Use as union/contact discovery, then verify application rules with each JATC."
ORG-ALAMEDABTC,Alameda County Building & Construction Trades Council,labor_council,Alameda,Oakland,not_provided,not_provided,not_provided,https://apprenticeship.cabuildingtrades.org/apprenticeship/apprenticeship-program-directory/,no,yes,Union construction workers and apprenticeship seekers,Council and apprenticeship ecosystem,P2,2026-09-12,SRC-BC3-DIRECTORY,Address and phone from Building California apprenticeship directory.
ORG-IBEW6,IBEW Local 6 / San Francisco Electrical JATC,union_jatc,San Francisco,San Francisco,not_provided,not_provided,not_provided,https://www.ibew6.org/,yes,no,Electrical apprenticeship applicants and journey workers,Inside wireman apprenticeship and union representation,P1,2026-09-12,SRC-CTWI-CAREERS,2026 application window passed; monitor for next published window.
ORG-IBEW595,Alameda County Electrical JATC / IBEW 595,union_jatc,Alameda,San Leandro,not_provided,not_provided,not_provided,https://www.595jatc.org/,no,yes,Electrical apprenticeship applicants,Inside wireman registered apprenticeship,P1,2026-09-12,SRC-BC3-DIRECTORY,Contact program for current application status.
ORG-SMART104,SMART Local 104 Bay Area Sheet Metal JAC,union_jatc,Alameda,San Leandro,not_provided,not_provided,not_provided,https://www.smw104training.org/,yes,yes,Sheet metal apprenticeship applicants,Sheet metal apprenticeship,P1,2026-09-12,SRC-BC3-DIRECTORY,CTWI lists applications as ongoing; confirm directly before applying.
ORG-NORCALSOUND,Northern California Sound & Communications JATC,union_jatc,Alameda,San Leandro,not_provided,not_provided,not_provided,https://norcal-jatc.com/,yes,yes,Low-voltage and communications apprenticeship applicants,Sound and communications apprenticeship,P1,2026-09-12,SRC-BC3-DIRECTORY,CTWI lists applications as ongoing; verify details on the JATC site.
ORG-CEMENT,Northern California Cement Masons JATC,union_jatc,Alameda,Pleasanton,not_provided,not_provided,not_provided,https://www.norcalcementmasonsapprenticeship.org/,yes,yes,Cement mason apprenticeship applicants,Cement mason apprenticeship,P1,2026-09-12,SRC-BC3-DIRECTORY,CTWI lists applications as ongoing.
ORG-NORCALLABORERS,Northern California Laborers JAC,union_jatc,Alameda,San Ramon,not_provided,not_provided,not_provided,https://www.norcaltc.org/,yes,yes,Construction craft laborer apprenticeship applicants,Laborers apprenticeship and training,P1,2026-09-12,SRC-BC3-DIRECTORY,CTWI lists applications as ongoing.
ORG-OE3SURVEY,Northern California Surveyors JAC / Operating Engineers Local 3,union_jatc,Alameda,Alameda,not_provided,not_provided,not_provided,https://teapprenticeship.org/,yes,yes,Surveyor and inspector apprenticeship applicants,"Technical engineer, surveyor and inspector apprenticeship",P1,2026-09-12,SRC-BC3-DIRECTORY,CTWI lists applications as ongoing.
ORG-UA483,Sprinkler Fitters UA Local 483 JAC,union_jatc,Alameda,Hayward,not_provided,not_provided,not_provided,https://sprinklerfitters483.org/,yes,yes,Sprinkler fitter apprenticeship applicants,Sprinkler fitter apprenticeship,P1,2026-09-12,SRC-BC3-DIRECTORY,CTWI lists year-round applications; verify intake details.
ORG-INSULATORS16,Heat & Frost Insulators Local 16,union_jatc,Regional,Benicia,not_provided,not_provided,not_provided,http://www.insulators16.org/,yes,yes,Mechanical insulation apprenticeship applicants,Quarterly apprenticeship applications and training,P1,2026-09-12,SRC-TRADESWOMEN-EVENTS,"Next listed application date is October 12, 2026."
ORG-UA38,Plumbers & Pipefitters UA Local 38,union_jatc,San Francisco,San Francisco,not_provided,not_provided,not_provided,https://ualocal38.org/,yes,no,"Plumbing, pipefitting and HVAC apprenticeship applicants",Union apprenticeship and hiring hall,P2,2026-09-12,SRC-CTWI-CAREERS,CTWI lists the next apprenticeship application period in June 2027.
ORG-EBMUD,East Bay Municipal Utility District,public_utility_employer,Alameda,Oakland,not_provided,not_provided,not_provided,https://www.ebmud.com/jobs/job-opportunities,no,yes,"Water, wastewater, maintenance and engineering job seekers",Public utility careers; trades outreach and hiring events,P1,2026-09-12,SRC-EBMUD-JOBS,Applications route through GovernmentJobs during open periods.
ORG-BAYWORK,Baywork,industry_workforce_collaborative,Regional,,not_provided,not_provided,not_provided,https://www.baywork.org/careers/,yes,yes,Water and wastewater career seekers,Regional water/wastewater career information and job aggregator,P2,2026-09-12,SRC-BAYWORK-JOBS,Useful niche feed; re-check employer page before presenting a posting as open.
ORG-SFPW,San Francisco Public Works,public_agency_employer,San Francisco,San Francisco,not_provided,not_provided,not_provided,https://bidopportunities.apps.sfdpw.org/,yes,no,Contractors and construction workforce,Public construction bid opportunities and capital-project demand signals,P1,2026-09-12,SRC-SFPW-BIDS,Project scopes can infer likely trade demand but are not job postings.
ORG-SFPUC,San Francisco Public Utilities Commission,public_utility_employer,San Francisco,San Francisco,not_provided,not_provided,not_provided,https://careers.sf.gov/,yes,yes,"Water, power and infrastructure job seekers","Utility operations, maintenance, inspection and construction careers",P1,2026-09-12,SRC-SF-CITYWIDE,Some work locations are in Sunol and therefore Alameda County.
ORG-BART,Bay Area Rapid Transit,public_transit_employer,Regional,Oakland,not_provided,not_provided,not_provided,https://www.governmentjobs.com/careers/bart/,yes,yes,"Transit operations, maintenance and skilled-trades job seekers","Electrician, track, mechanical, facilities and operations careers",P2,2026-09-12,SRC-BART-JOBS,Use official job board for openings; job-description pages alone do not indicate vacancies.
ORG-UA342,UA Local 342 Plumbers & Steamfitters,union_employer_history,Contra Costa,Concord,not_provided,not_provided,not_provided,https://ua342.org/,no,yes,"Plumbing, pipefitting, welding and HVAC workers",Union representation; training; dispatch ecosystem,P2,2026-09-12,SRC-VON-RESUME,Included because Von worked as a construction helper with UA Local 342; current membership status is not asserted.
ORG-SFMTA,San Francisco Municipal Transportation Agency,public_transit_employer,San Francisco,San Francisco,not_provided,not_provided,not_provided,https://www.sfmta.com/getting-around/muni/muni-careers,yes,no,"Transit operations, maintenance and skilled-trades candidates",Public transportation operations and maintenance careers,P2,2026-09-12,SRC-VON-RESUME,Included as Von's prior employer; no private employment records are included.
ORG-BIGBUS,Big Bus Tours San Francisco,transportation_employer_history,San Francisco,San Francisco,not_provided,not_provided,not_provided,https://www.bigbustours.com/en/san-francisco/careers,yes,no,Commercial transportation and tourism candidates,Commercial tour transportation,P3,2026-09-12,SRC-VON-RESUME,Included only to represent transferable commercial-driving experience.
ORG-USARMY,United States Army,military_employer_history,Federal,,not_provided,not_provided,not_provided,https://www.army.mil/,yes,yes,Veterans and military personnel,Military service and occupational training,P3,2026-09-12,SRC-VON-RESUME,Von served as a Motor Transportation Operator and was honorably discharged.
